dataset,horizon_days,threshold,feature,n,n_pos,point_biserial_r,p_value,p_adj_fdr,significant_fdr_10pct
A_coingecko_365d,30,5,narr_rwa,18800,20,-0.00920301968921335,0.20702173367967677,0.41404346735935355,False
A_coingecko_365d,30,5,btc_ret_90d,15561,14,-0.00886939758754238,0.26858168574675545,0.5021309777004559,False
A_coingecko_365d,30,5,narr_depin,18800,20,-0.007767568376698125,0.2868847242375691,0.5225022370441647,False
A_coingecko_365d,30,5,universe_vol_chg_7d,18800,20,0.006848677924497219,0.3477348625347421,0.6003621965118838,False
A_coingecko_365d,30,5,narr_l1,18800,20,0.006721814108802929,0.3567383830272984,0.6087845473750744,False
A_coingecko_365d,30,5,narr_gaming,18800,20,0.00531228017620352,0.4664055630134072,0.7205547021404733,False
A_coingecko_365d,30,5,ret_14d,18800,20,-0.004953729573981611,0.4970237019243677,0.7369661787154418,False
A_coingecko_365d,30,5,narr_memecoin,18800,20,-0.0049569089344353,0.4967475763376668,0.7369661787154418,False
A_coingecko_365d,30,5,tvl_growth_30d,2561,6,-0.011561432159821158,0.558671790744947,0.7682806792330145,False
A_coingecko_365d,30,5,vol_rel_7d,18800,20,0.0036778687799820433,0.6140842083155096,0.8124806448482127,False
A_coingecko_365d,30,5,narr_infra,18800,20,-0.0029575770650361634,0.6851126205783019,0.8631941423304352,False
A_coingecko_365d,30,5,narr_defi,18800,20,-0.0028821240330706684,0.6927310964124805,0.8634039752387439,False
A_coingecko_365d,30,5,market_cap_usd,18795,20,-0.0026523941265828863,0.7161522082681302,0.8883041814095076,False
A_coingecko_365d,30,5,ret_30d,18800,20,-0.0020050311584389607,0.783394589577078,0.918895091472511,False
A_coingecko_365d,30,5,tvl_growth_7d,2580,6,-0.004822884215746208,0.8065688257534005,0.9249152826912317,False
A_coingecko_365d,30,5,tvl_to_mcap,3189,6,0.0038613652208066176,0.8274514147201288,0.927813161853096,False
A_coingecko_365d,30,5,ret_7d,18800,20,-0.0011082514157292884,0.8792297465974231,0.9373606389344429,False
A_coingecko_365d,30,5,price_above_ma7,18800,20,0.0007010726581064518,0.9234253782439267,0.9645495853721987,False
A_coingecko_365d,30,5,ret_3d,18800,20,-0.0006622365033395112,0.9276552708551652,0.9650607253251315,False
A_coingecko_365d,30,5,ret_1d,18800,20,0.00046909604700959707,0.9487194606152897,0.969055590908399,False
A_coingecko_365d,30,5,vol_rel_30d,18800,20,0.0005617776448341061,0.9386060798042696,0.969055590908399,False
A_coingecko_365d,30,5,ret_2d,18800,20,9.99851590511385e-05,0.9890626515270683,0.9890626515270683,False
A_coingecko_365d,90,5,vol_30d,18800,54,0.06756245276518416,1.7983546142707635e-20,1.5465849682728565e-18,True
A_coingecko_365d,90,5,dist_from_high_90d,15060,43,-0.06051550178065482,1.0647617958127981e-13,4.578475721995032e-12,True
A_coingecko_365d,90,5,dist_from_high_30d,18800,54,-0.05183271786218502,1.1499514996254373e-12,3.708593586292035e-11,True
A_coingecko_365d,90,5,narr_ai,18800,54,0.035059406013655633,1.5224814463256146e-06,2.1822234064000477e-05,True
A_coingecko_365d,90,5,vol_7d,18800,54,0.0342632504486668,2.6142892989403718e-06,3.5499296796137675e-05,True
A_coingecko_365d,90,5,narr_l2,18800,54,0.027908894827296915,0.0001296271801316078,0.0012386597212575854,True
A_coingecko_365d,90,5,btc_ret_90d,15561,45,-0.028499749271530872,0.00037711486564784215,0.0030404886042857274,True
A_coingecko_365d,90,5,btc_dominance_proxy,18800,54,-0.018859231790211945,0.009712352520558607,0.042470965259391875,True
A_coingecko_365d,90,5,universe_vol_chg_7d,18800,54,0.016630363870160002,0.022593062804571632,0.08095847504971501,True
A_coingecko_365d,90,5,narr_rwa,18800,54,-0.015135811863901234,0.037958846771716716,0.12886029561977516,False
A_coingecko_365d,90,5,price_above_ma30,18800,54,-0.01349831908477626,0.06420444582461407,0.18557304565014351,False
A_coingecko_365d,90,5,narr_memecoin,18800,54,0.013261913561319182,0.06901202632854651,0.1951636938388158,False
A_coingecko_365d,90,5,narr_defi,18800,54,-0.012676000188899682,0.08221084292313939,0.22326734183336805,False
A_coingecko_365d,90,5,ma7_above_ma30,18800,54,-0.012110920893940884,0.09681063372560561,0.25486881123679844,False
A_coingecko_365d,90,5,ret_3d,18800,54,-0.010400930989198085,0.1538546162902848,0.3512786814415352,False
A_coingecko_365d,90,5,tvl_growth_30d,2561,12,-0.022232915116928934,0.26070947371093683,0.49097112567461093,False
A_coingecko_365d,90,5,ret_7d,18800,54,0.00668019442834294,0.3597238426296916,0.6087845473750744,False
A_coingecko_365d,90,5,price_above_ma7,18800,54,-0.006608156804616376,0.36492820020212124,0.6113732185204369,False
A_coingecko_365d,90,5,narr_infra,18800,54,0.005756817634706306,0.4299430432655673,0.6805233445553152,False
A_coingecko_365d,90,5,tvl_growth_7d,2580,12,-0.013878973940807112,0.4810238712960267,0.7277722162817641,False
A_coingecko_365d,90,5,narr_gaming,18800,54,-0.004789244659423504,0.511419982113143,0.7424069905050888,False
A_coingecko_365d,90,5,market_cap_usd,18795,54,-0.004358742749799046,0.5501573803099258,0.7682806792330145,False
A_coingecko_365d,90,5,narr_depin,18800,54,-0.003950407391737216,0.5880812275036315,0.7820874056491594,False
A_coingecko_365d,90,5,ret_30d,18800,54,-0.0032725447368518765,0.6536624466627082,0.8433468489649009,False
A_coingecko_365d,90,5,tvl_to_mcap,3189,12,0.005465873293220987,0.7576669859962216,0.9177374759954233,False
A_coingecko_365d,90,5,vol_rel_7d,18800,54,0.0019317942079374823,0.7911196922928412,0.918895091472511,False
A_coingecko_365d,90,5,narr_l1,18800,54,-0.002058751948727606,0.7777415666050548,0.918895091472511,False
A_coingecko_365d,90,5,ret_1d,18800,54,-0.0014398559207260404,0.843506647832174,0.927813161853096,False
A_coingecko_365d,90,5,vol_rel_30d,18800,54,0.0009750974900663402,0.8936478918612022,0.9488113419760912,False
A_coingecko_365d,90,5,ret_2d,18800,54,-0.0008327640144706206,0.9090988501782915,0.9573367483510171,False
A_coingecko_365d,90,5,ret_14d,18800,54,0.00015500396488596965,0.9830449049466499,0.9890375724009856,False
A_coingecko_365d,90,10,narr_l2,18800,6,0.027519522881778995,0.00016081150669001217,0.0014817631687865408,True
A_coingecko_365d,90,10,dist_from_high_30d,18800,6,-0.02678592513098564,0.00023961082475744202,0.0020606530929140015,True
A_coingecko_365d,90,10,ma7_above_ma30,18800,6,-0.024395345762756693,0.0008222424121816309,0.005733474117374615,True
A_coingecko_365d,90,10,narr_infra,18800,6,0.019595563934650152,0.007212120171928889,0.03324248846421094,True
A_coingecko_365d,90,10,universe_vol_chg_7d,18800,6,0.018632904524930667,0.010622836199638065,0.04567819565844368,True
A_coingecko_365d,90,10,price_above_ma30,18800,6,-0.016401800331395044,0.02451864981880885,0.08665495415414634,True
A_coingecko_365d,90,10,narr_ai,18800,6,0.01567615041943878,0.031603133398513915,0.1101838975245485,False
A_coingecko_365d,90,10,ret_30d,18800,6,-0.014867451934591514,0.041500013034250056,0.13726927388251942,False
A_coingecko_365d,90,10,vol_30d,18800,6,0.014439158549310504,0.047729465140447354,0.15017319519799288,False
A_coingecko_365d,90,10,narr_defi,18800,6,-0.014381156916472435,0.04863064497201408,0.15116513738288714,False
A_coingecko_365d,90,10,dist_from_high_90d,15060,6,-0.015400924093778797,0.05876542937021136,0.17228955428993786,False
A_coingecko_365d,90,10,btc_ret_90d,15561,6,-0.010679036827145152,0.18283589586611013,0.3898484391194745,False
A_coingecko_365d,90,10,ret_14d,18800,6,-0.006008075607309551,0.4100881685257048,0.6638562627215876,False
A_coingecko_365d,90,10,narr_gaming,18800,6,-0.0059874936976826495,0.41169380633896907,0.6638562627215876,False
A_coingecko_365d,90,10,narr_memecoin,18800,6,-0.005769280203072104,0.42894525673451045,0.6805233445553152,False
A_coingecko_365d,90,10,narr_l1,18800,6,0.005551328290570546,0.44658835794421137,0.6983017960582214,False
A_coingecko_365d,90,10,tvl_growth_30d,2561,3,-0.014488612891174358,0.4636218970018169,0.7205547021404733,False
A_coingecko_365d,90,10,vol_rel_30d,18800,6,0.005244556494236893,0.47210734787126646,0.7250219985165878,False
A_coingecko_365d,90,10,narr_rwa,18800,6,-0.00503882367505556,0.48966160707353557,0.7344924106103033,False
A_coingecko_365d,90,10,vol_rel_7d,18800,6,0.004258528999162193,0.5593118817815833,0.7682806792330145,False
A_coingecko_365d,90,10,narr_depin,18800,6,-0.0042528875038693615,0.5598324329294834,0.7682806792330145,False
A_coingecko_365d,90,10,price_above_ma7,18800,6,0.002898478197213036,0.691077147673741,0.8634039752387439,False
A_coingecko_365d,90,10,ret_3d,18800,6,0.0024521924603954862,0.7367156495896281,0.8965690452553021,False
A_coingecko_365d,90,10,ret_1d,18800,6,0.0020832650338834624,0.7751659453858778,0.918895091472511,False
A_coingecko_365d,90,10,ret_2d,18800,6,0.001902279567104005,0.794238780613837,0.918895091472511,False
A_coingecko_365d,90,10,vol_7d,18800,6,-0.001585054254793305,0.8279610168145749,0.927813161853096,False
A_coingecko_365d,90,10,market_cap_usd,18795,6,-0.0014529665112834277,0.8421210879454474,0.927813161853096,False
A_coingecko_365d,90,10,tvl_to_mcap,3189,3,0.002729042813259879,0.8775685164863939,0.9373606389344429,False
A_coingecko_365d,90,10,ret_7d,18800,6,0.0008598407336166472,0.9061567150293911,0.9573367483510171,False
A_coingecko_365d,90,10,btc_dominance_proxy,18800,6,-0.00032905308933156205,0.9640160535783933,0.9791974087528562,False
A_coingecko_365d,90,10,tvl_growth_7d,2580,3,0.0003652809771483395,0.985204093438191,0.9890375724009856,False
B_coinbase_multiyear,14,5,ret_1d,28621,9,0.016689162934700734,0.004750200150648413,0.025011257936067153,True
B_coinbase_multiyear,14,5,narr_l2,28621,9,0.016487405215841543,0.0052811597072197685,0.027051530603317563,True
B_coinbase_multiyear,14,5,ret_14d,28621,9,0.013918533892290788,0.018537022299937332,0.06832216790548332,True
B_coinbase_multiyear,14,5,ret_7d,28621,9,0.013609954297117303,0.021306819910505023,0.07742478221000418,True
B_coinbase_multiyear,14,5,price_above_ma30,28621,9,0.012176324165941416,0.03940374976726185,0.13202814857082545,False
B_coinbase_multiyear,14,5,price_above_ma7,28621,9,0.01176655412214897,0.04652298221719529,0.14865894598507767,False
B_coinbase_multiyear,14,5,vol_rel_30d,28621,9,0.0105911967636471,0.07317088144930542,0.2008307171693702,False
B_coinbase_multiyear,14,5,vol_rel_7d,28621,9,0.009740892116490367,0.0993719351860185,0.2570809846439459,False
B_coinbase_multiyear,14,5,ret_2d,28621,9,0.009438342691640888,0.1103280676831229,0.2763557423519001,False
B_coinbase_multiyear,14,5,narr_defi,28621,9,-0.00879593831654896,0.13674088405133322,0.3207195280476725,False
B_coinbase_multiyear,14,5,vol_7d,28621,9,0.008454505198286206,0.1526382559866472,0.3512786814415352,False
B_coinbase_multiyear,14,5,ma7_above_ma30,28621,9,0.007811184254754038,0.18635521133183236,0.3908914188911605,False
B_coinbase_multiyear,14,5,ret_3d,28621,9,0.007698881356161223,0.19276625130079617,0.3978695426848433,False
B_coinbase_multiyear,14,5,narr_l1,28621,9,0.007383432087415255,0.21163856799077976,0.4179693742669846,False
B_coinbase_multiyear,14,5,btc_ret_90d,28612,9,0.0069759662602584555,0.23801882172827493,0.45935207871692696,False
B_coinbase_multiyear,14,5,dist_from_high_30d,28621,9,0.0067091060076137155,0.256378479346538,0.48636505640740296,False
B_coinbase_multiyear,14,5,ret_30d,28621,9,0.005962541466412062,0.31312222529563055,0.5571416146639495,False
B_coinbase_multiyear,14,5,coin_age_days,4885,1,-0.013559277922398005,0.3433857957778477,0.5986049683154372,False
B_coinbase_multiyear,14,5,narr_memecoin,28621,9,-0.0045535860446535015,0.44110161856932795,0.6939281560419915,False
B_coinbase_multiyear,14,5,dist_from_high_90d,26770,6,0.003583069875235254,0.5577277320951954,0.7682806792330145,False
B_coinbase_multiyear,14,5,narr_ai,28621,9,-0.0036150305338140017,0.5408310062344075,0.7682806792330145,False
B_coinbase_multiyear,14,5,narr_rwa,28621,9,0.0027854771289509885,0.6374835154748816,0.8348768882869008,False
B_coinbase_multiyear,14,5,narr_depin,28621,9,0.0027915809886237164,0.636746379464401,0.8348768882869008,False
B_coinbase_multiyear,14,5,narr_infra,28621,9,0.0017758870604357795,0.7638513880369017,0.918895091472511,False
B_coinbase_multiyear,14,5,narr_gaming,28621,9,0.0013200450903077371,0.8232925572622621,0.927813161853096,False
B_coinbase_multiyear,14,5,vol_30d,28621,9,0.0004402621866268815,0.9406291133314967,0.969055590908399,False
B_coinbase_multiyear,14,5,universe_vol_chg_7d,28621,9,-0.0003686284239236611,0.9502754437977711,0.969055590908399,False
